N,P,K,Temperature,Humidity,pH,Rainfall,Label
98,30,47,25.34282268,47.06352363,6.231339385,331.7893012,Padi
93,59,48,27.1641737,67.61623384,5.558306644,248.6149734,Padi
109,31,31,27.43461183,65.41438583,6.702120905,292.2149709,Padi
116,38,40,24.09092933,52.2095072,5.995507101,235.2467716,Padi
118,50,43,28.00933987,63.12887914,6.966379144,220.7373147,Padi
107,37,54,28.19187354,69.71697935,7.467870211,351.3651133,Padi
91,34,42,25.51023792,43.79110042,6.13555272,183.9295913,Padi
100,53,58,28.07202781,80.08547234,5.509471171,413.6703834,Padi
96,52,46,28.61452427,47.76161047,6.655602212,272.8562224,Padi
96,41,41,27.97303339,43.85497235,7.351384983,279.1429954,Padi
94,30,47,27.8772824,43.20780044,5.694803989,453.4138967,Padi
99,48,50,24.58244362,46.93022739,6.048671364,259.6891772,Padi
104,30,36,26.91204256,59.45779926,7.576199991,409.9577259,Padi
92,37,44,25.60080923,82.68536087,6.60228633,380.6908,Padi
94,50,35,27.17168905,66.22337848,8.197291643,242.193909,Padi
100,56,39,28.49191769,52.75970873,6.631063246,190.3962515,Padi
113,43,40,26.29357816,45.79186388,7.331396637,218.1253623,Padi
98,32,50,27.81768742,59.62109806,7.451398791,215.3477846,Padi
119,59,60,26.74974219,62.79288654,6.62283584,424.3263005,Padi
105,53,39,25.69097044,39.06492397,6.239676236,287.9683833,Padi
94,44,51,25.13436459,55.67962288,7.957676572,194.5488259,Padi
103,46,47,25.12178309,35.90458847,7.128411789,401.8188266,Padi
104,55,41,26.77643622,42.15861853,5.785483659,294.2527759,Padi
108,42,57,28.79448251,72.78697433,6.678053608,243.8502205,Padi
109,30,48,27.87774041,77.12206928,7.890698952,466.948533,Padi
108,34,55,28.68817958,70.81565097,7.871237123,356.3169167,Padi
113,33,31,26.0795933,72.34359594,5.527137753,358.9457606,Padi
101,44,37,28.90639353,46.1277927,7.85482347,284.6076263,Padi
109,37,45,28.63207865,38.9582668,6.940548885,328.8914702,Padi
106,32,42,28.50506732,48.95365877,6.360884922,468.5077456,Padi
104,42,38,25.70426517,67.89140732,7.443902187,228.7199181,Padi
115,57,59,28.39803835,79.01083793,5.837336396,430.3606103,Padi
103,41,33,27.78232391,33.89156429,5.688809375,369.2347106,Padi
97,32,35,27.24420999,72.92151799,6.973618362,413.15984,Padi
115,53,59,28.7935524,68.34781718,8.113397193,413.317515,Padi
114,39,57,24.44549939,53.9016485,5.591221593,265.8036803,Padi
113,32,39,28.6761633,85.20319366,7.640162553,183.4104859,Padi
100,51,58,28.90470531,33.46797175,7.597786288,191.6057541,Padi
96,40,50,24.88714685,81.11338796,5.761291562,280.3719335,Padi
105,33,36,26.88072426,88.29933812,6.098885971,301.4821662,Padi
108,58,56,27.11411586,47.04554362,5.530422598,336.4323749,Padi
97,49,40,26.08891841,54.93119098,7.636225129,256.7473519,Padi
101,38,48,28.7213754,72.82285673,7.986661163,175.6550863,Padi
93,52,43,25.53406365,35.65071312,6.178530712,481.8472699,Padi
92,36,53,26.91797546,74.00984231,6.446586741,307.3468935,Padi
91,44,59,27.65689225,76.72298693,6.443006499,495.7224932,Padi
113,44,34,28.22467107,45.67734633,5.956884994,214.0030197,Padi
98,36,44,27.13387632,70.4457948,6.811963451,279.8290514,Padi
113,33,30,24.65765228,48.11815819,5.97434375,286.9989551,Padi
102,55,39,26.92960272,50.50925248,5.982584352,259.4647147,Padi
99,58,53,28.83294912,43.89017725,6.700712287,316.8481338,Padi
103,51,58,28.91874581,67.28220799,7.731969329,294.4897333,Padi
100,32,58,27.1480339,85.57405895,6.685918461,257.1651569,Padi
108,47,33,27.26197428,77.60441952,6.276190497,274.9589411,Padi
114,39,51,24.91276489,35.31122273,7.838105265,370.7128548,Padi
94,44,42,25.6142646,55.94471863,6.016849197,212.9663716,Padi
104,38,40,28.01781851,69.39730242,8.094568515,498.1538906,Padi
117,50,49,26.80994464,74.83211968,7.56525475,481.9093135,Padi
101,50,32,24.87145988,75.79468523,7.484371655,478.0780742,Padi
101,37,54,25.10683322,70.60261838,6.499516019,470.3048086,Padi
94,42,49,26.92770215,38.84442827,5.684032823,394.7817302,Padi
107,52,47,25.69720033,51.67781653,7.698832738,497.5719804,Padi
93,33,58,27.09566344,38.42530873,7.648825475,445.5445435,Padi
98,46,47,25.22012615,85.78707975,6.219277546,454.897649,Padi
91,50,59,25.97088561,38.97544684,5.834747484,463.6952247,Padi
97,50,49,27.53264898,62.23469906,6.612012231,238.7239377,Padi
97,52,56,26.22982069,82.34451975,7.637302346,254.7602596,Padi
92,37,40,28.82088037,39.89389832,6.041669058,189.6625185,Padi
105,36,58,26.49529268,63.53844087,5.664007907,296.8945466,Padi
107,40,51,26.05913968,65.90925662,7.725946804,422.0080337,Padi
118,56,33,28.68887189,42.2735793,7.764814491,337.1402679,Padi
114,52,54,27.12962129,89.03078914,6.04110685,250.8143044,Padi
106,58,56,25.55564844,33.18787925,7.382613929,279.9936273,Padi
117,57,41,27.12243804,81.43489182,7.174257409,380.3028282,Padi
97,30,38,26.80234839,86.67003583,6.368622799,338.331653,Padi
103,53,41,24.60269495,74.19493139,7.52864828,299.6298964,Padi
105,45,33,27.93882969,63.22774467,7.677235452,309.5615379,Padi
102,58,53,25.66880099,64.39944796,7.531494591,375.4285858,Padi
99,58,37,24.09371805,77.35433696,7.433083874,254.4088366,Padi
119,56,37,24.00204931,55.06066981,6.516489302,481.3536464,Padi
96,49,30,25.56149338,89.00750773,7.353750471,321.3227984,Padi
111,35,30,26.27860242,74.61629113,6.822059155,267.258697,Padi
107,47,56,28.28130425,34.13235651,6.736309981,474.1111937,Padi
118,55,56,26.39883816,59.81080665,5.826630692,462.9401502,Padi
114,41,44,28.86672183,38.00861034,6.204771113,320.9332205,Padi
95,56,32,25.41174086,53.22005464,6.536555732,456.8211018,Padi
106,40,43,27.69460691,67.50181181,6.956104063,377.4218982,Padi
104,55,40,26.69169346,65.5834403,7.624527201,407.9241021,Padi
108,58,38,27.68815467,51.73333274,6.079529144,419.3141236,Padi
103,37,32,26.42363557,55.78630509,6.257182077,407.7649125,Padi
109,55,59,25.42190311,88.49994755,8.075224488,380.322383,Padi
93,41,39,27.92861725,38.03609342,6.372459512,411.3250895,Padi
91,33,54,27.51808461,46.60258796,6.900497687,496.4292502,Padi
117,42,60,26.20558946,39.81114655,5.922235548,431.1551272,Padi
102,34,53,28.25869757,34.30148861,7.623244078,236.8646057,Padi
96,44,48,25.42668679,57.12397853,6.223164449,461.8563892,Padi
93,36,40,27.44351061,51.00282552,7.535444353,421.2434731,Padi
113,56,43,27.95216805,61.75922755,7.376252794,176.5126892,Padi
105,48,33,27.96976981,33.82014436,6.898520896,181.6500731,Padi
117,55,42,26.79300907,43.85320156,7.499078123,194.2743049,Padi
191,72,54,26.54454511,32.54402463,6.72386823,402.9913534,Jagung
173,78,57,25.99590745,40.54775885,6.690302989,882.0325636,Jagung
148,74,89,26.12807098,39.63037054,7.943634264,541.918439,Jagung
178,76,96,25.59683291,63.26617702,6.894720356,776.2570298,Jagung
182,55,94,25.64083455,73.69369952,6.377182207,787.9325647,Jagung
150,79,42,25.85681952,42.4102649,6.736419421,600.5319448,Jagung
171,63,53,25.93299506,38.09176198,6.596063632,838.4849675,Jagung
172,64,42,26.12847323,37.64475028,8.05179659,841.6827944,Jagung
187,53,73,26.07856311,33.13536664,8.178559084,803.0840742,Jagung
171,78,93,26.80146125,37.52572665,7.565372473,576.5551332,Jagung
150,58,68,25.17349374,71.88131728,7.239534515,586.2187288,Jagung
164,70,96,25.33903843,58.4256971,6.618649674,569.6302029,Jagung
176,53,83,26.56649943,68.4637295,7.64080707,648.9151618,Jagung
169,72,66,26.29007788,36.75126676,5.578816581,435.0016057,Jagung
145,60,99,25.9357841,54.10516406,7.103326409,821.5678941,Jagung
176,66,83,25.36186697,70.02703994,5.966065952,463.0151362,Jagung
195,77,43,26.04832054,70.33518081,7.795494794,729.3277808,Jagung
199,60,88,25.30403982,43.40417263,7.296535696,677.2006167,Jagung
165,68,42,25.98071187,40.22054256,7.921009463,837.5343554,Jagung
171,72,53,26.10041199,70.00581738,6.225183138,673.9046725,Jagung
191,54,47,26.19160385,74.43151013,6.645114678,851.8711942,Jagung
163,63,71,26.6323849,53.90555073,7.78418279,507.7286463,Jagung
155,78,70,25.0132685,45.91780989,7.662037046,547.8944014,Jagung
159,73,72,25.83605149,56.86992013,5.763667377,632.0679969,Jagung
194,59,81,25.10045549,41.65072162,7.419558731,790.6185704,Jagung
147,55,97,26.45734819,39.996374,5.756948655,415.4454622,Jagung
163,53,47,25.0366996,47.35325022,5.884515917,666.7851309,Jagung
135,61,95,25.36877528,41.96178701,5.631170627,744.3914063,Jagung
168,57,82,26.65772734,39.65572997,7.372682913,798.2237798,Jagung
149,70,78,25.10234141,48.13422612,6.153473567,882.8953745,Jagung
150,55,88,26.63029564,72.52370509,6.418689871,883.2040818,Jagung
155,69,84,26.38383129,39.57951633,5.727887777,690.3628725,Jagung
180,73,58,26.649785,54.37494186,6.571188035,898.0718491,Jagung
198,79,62,26.11608204,66.67306561,5.960112913,601.2491456,Jagung
178,58,51,25.85219499,42.06739128,6.379779471,433.4336667,Jagung
156,75,67,25.3779124,55.83773545,6.388114594,742.3651674,Jagung
174,71,87,25.03627716,59.83637024,5.901098147,546.8062397,Jagung
165,59,51,26.43064974,45.7532762,7.543907558,836.7953885,Jagung
162,54,75,26.36152482,68.01582547,7.257387871,779.9295323,Jagung
182,80,75,26.87000774,35.40210745,7.299416945,758.1126489,Jagung
191,67,60,25.67868812,72.99790959,7.399426462,477.0515692,Jagung
196,59,72,26.77361528,36.2933323,5.939395732,688.7662411,Jagung
144,53,61,25.26191717,56.16068982,7.041111807,727.9738847,Jagung
170,62,79,25.94143376,57.55443755,6.268709379,491.8611995,Jagung
140,51,74,26.35442012,67.48432929,7.942139996,486.6690202,Jagung
185,70,80,26.89737738,66.34488415,7.397719597,448.5844706,Jagung
146,61,93,25.04217733,68.85435288,7.321756477,405.6037696,Jagung
168,63,48,25.41259838,47.49518172,7.430220439,747.8823448,Jagung
141,74,53,26.16151187,57.96469623,6.526011969,802.7327487,Jagung
154,55,68,25.36286543,68.97448448,7.962728099,581.0628704,Jagung
177,61,60,26.18959288,33.41463829,5.700955993,514.4608631,Jagung
180,79,51,26.66606656,69.56426991,7.756353025,898.6478424,Jagung
173,59,50,25.58783241,63.62608314,7.184924359,695.4628589,Jagung
191,68,64,25.76811501,43.97151961,7.332657361,580.1105258,Jagung
192,64,45,25.76884278,67.22021407,5.672269862,839.2288021,Jagung
182,60,81,26.13609109,61.58413941,5.746748529,606.1356531,Jagung
169,58,95,25.07534405,68.53727237,7.684533262,412.1584537,Jagung
154,55,76,25.2084027,47.95684134,6.662352393,736.7473188,Jagung
178,74,98,26.53936108,40.8776117,6.173113052,644.5112867,Jagung
146,55,64,25.79320171,33.90707009,7.09017107,836.8684056,Jagung
198,52,86,26.64716382,34.62600387,7.663806937,820.6875962,Jagung
184,67,72,25.21047036,65.25349894,7.208288714,590.7935034,Jagung
190,62,65,26.30983094,54.17860641,6.171334088,780.5442183,Jagung
147,79,93,25.66813716,53.99084225,8.005906576,774.86532,Jagung
147,78,98,25.09813134,64.42760366,6.193102245,409.1709422,Jagung
176,73,80,26.08098929,42.84659654,7.709529981,490.3327913,Jagung
174,51,44,25.2964681,52.65222527,6.920899961,777.2041329,Jagung
200,78,62,25.36521255,65.72756786,8.149332161,496.3243956,Jagung
194,65,68,25.12621951,42.68813167,7.101963483,460.7635668,Jagung
151,54,77,26.59919875,59.91546982,7.181253499,881.8780829,Jagung
139,73,85,25.93635914,65.13440514,6.320776482,449.8571411,Jagung
174,54,98,25.72622671,32.1681142,5.888308252,766.1015391,Jagung
195,69,92,25.22814584,41.67512083,6.813401937,481.1293437,Jagung
165,66,93,25.7173644,71.36957562,5.984268204,420.8803411,Jagung
145,57,50,25.144684,45.19153548,5.790116597,646.6994704,Jagung
196,56,70,26.49574072,53.23053605,6.27900211,726.9305178,Jagung
151,64,55,25.35692147,59.74344508,6.009696279,761.3939398,Jagung
180,64,48,25.85807191,64.65900529,6.83675653,452.5314212,Jagung
189,68,46,25.74705657,61.53890979,7.975951303,803.4695586,Jagung
163,71,77,25.88863987,60.91280217,7.615684489,891.9653185,Jagung
165,55,62,26.63261594,72.93581559,7.196055878,448.227272,Jagung
184,59,56,26.89072552,68.97516768,8.184237707,773.3112817,Jagung
136,68,64,25.26258364,39.13342044,5.692761025,805.9932933,Jagung
188,68,93,25.01425114,45.55642308,6.437868505,529.1821128,Jagung
185,60,88,26.49952953,39.06709588,5.895296385,792.0933805,Jagung
190,69,73,26.86231798,66.28130523,6.607181469,731.922442,Jagung
187,58,41,25.63930702,58.68373762,5.617323526,544.4959998,Jagung
144,67,80,26.21414127,66.30418969,7.878438367,569.8515565,Jagung
183,68,43,25.93352044,43.96684269,7.776475804,580.1264396,Jagung
185,68,71,25.56500418,30.88192409,7.748266082,516.398492,Jagung
192,69,41,26.61620951,35.44566611,5.528857326,524.8920708,Jagung
178,66,55,26.34843541,40.8695925,6.731571499,766.3357057,Jagung
153,67,48,25.30130797,62.07070523,5.66224472,448.223191,Jagung
154,63,46,26.67764032,43.02325602,6.697801664,886.1203046,Jagung
147,57,78,26.05522638,47.59466894,5.705283661,784.6571295,Jagung
199,69,54,26.25880768,30.69218333,5.693662606,717.4863246,Jagung
153,73,62,26.6281279,37.57432801,6.641850764,457.4090003,Jagung
167,54,95,26.15308759,67.34603908,6.649514734,609.3010804,Jagung
166,68,55,26.21270914,47.80121519,8.069511742,894.8946464,Jagung
156,70,66,25.13774636,42.10224856,5.547798001,525.1993313,Jagung
60,30,51,27.26012862,45.0297416,6.470854028,2542.455507,Karet
54,28,56,27.37918576,42.2956401,5.622238004,2561.758408,Karet
51,25,56,25.46861458,41.87729289,5.416221405,2489.226819,Karet
55,28,58,25.3184573,59.89173591,6.891854546,2350.117887,Karet
56,27,55,26.90385273,40.55901757,5.279804841,2146.391051,Karet
56,26,59,25.5993452,57.72229829,6.103622588,2181.891643,Karet
58,28,55,26.78169617,56.97429619,6.708083742,2640.821426,Karet
56,30,60,25.71976285,42.03190276,5.287870599,2166.257567,Karet
53,28,58,26.36152135,40.23486961,6.658794489,2226.655595,Karet
56,26,52,26.52510758,53.83183396,5.745848037,2025.410162,Karet
54,29,58,25.31411981,57.56770484,5.385159888,2492.569879,Karet
59,29,58,26.19043397,40.281409,5.94598152,2983.75739,Karet
52,27,60,25.96841783,49.58144173,7.440266266,2716.792987,Karet
57,26,59,27.20496253,40.29275341,6.027477207,2661.262773,Karet
53,29,58,27.36832216,58.24356206,5.853566661,2966.621088,Karet
50,25,52,26.7322491,53.93620206,6.42153634,2415.699019,Karet
59,28,50,25.1358597,53.41884866,7.083696414,2684.9241,Karet
59,26,54,25.90605817,50.600873,6.507924485,2438.370295,Karet
